id,queue_name,entity_id,entity_table,action,simulation_time,simulation_datetime,priority,queue_length_before,queue_length_after,wait_time
238,ProjectQueue,60,Deliverable,exit,871247.2101776678,2021-08-28 00:47:12.610660,,1,0,0.0
239,ProjectQueue,60,Deliverable,entry,871247.2101776678,2021-08-28 00:47:12.610660,,0,1,
240,ProjectQueue,60,Deliverable,exit,871247.2101776678,2021-08-28 00:47:12.610660,,1,0,0.0
241,ProjectQueue,61,Deliverable,entry,911156.1495987377,2021-09-24 17:56:08.975924,,0,1,
242,ProjectQueue,61,Deliverable,exit,911156.1495987377,2021-09-24 17:56:08.975924,,1,0,0.0
243,ProjectQueue,61,Deliverable,entry,911156.1495987377,2021-09-24 17:56:08.975924,,0,1,
244,ProjectQueue,61,Deliverable,exit,911156.1495987377,2021-09-24 17:56:08.975924,,1,0,0.0
245,ProjectQueue,62,Deliverable,entry,930404.976194514,2021-10-08 02:44:58.571671,,0,1,
246,ProjectQueue,62,Deliverable,exit,930404.976194514,2021-10-08 02:44:58.571671,,1,0,0.0
247,ProjectQueue,62,Deliverable,entry,930404.976194514,2021-10-08 02:44:58.571671,,0,1,
248,ProjectQueue,62,Deliverable,exit,930404.976194514,2021-10-08 02:44:58.571671,,1,0,0.0
249,ProjectQueue,63,Deliverable,entry,949697.4996027914,2021-10-21 12:17:29.976167,,0,1,
250,ProjectQueue,63,Deliverable,exit,949697.4996027914,2021-10-21 12:17:29.976167,,1,0,0.0
251,ProjectQueue,63,Deliverable,entry,949697.4996027914,2021-10-21 12:17:29.976167,,0,1,
252,ProjectQueue,63,Deliverable,exit,949697.4996027914,2021-10-21 12:17:29.976167,,1,0,0.0
253,ProjectQueue,64,Deliverable,entry,960228.0608616819,2021-10-28 19:48:03.651701,,0,1,
254,ProjectQueue,64,Deliverable,exit,960228.0608616819,2021-10-28 19:48:03.651701,,1,0,0.0
255,ProjectQueue,64,Deliverable,entry,960228.0608616819,2021-10-28 19:48:03.651701,,0,1,
256,ProjectQueue,64,Deliverable,exit,960228.0608616819,2021-10-28 19:48:03.651701,,1,0,0.0
257,ProjectQueue,65,Deliverable,entry,964942.5620797846,2021-11-01 02:22:33.724787,,0,1,
258,ProjectQueue,65,Deliverable,exit,964942.5620797846,2021-11-01 02:22:33.724787,,1,0,0.0
259,ProjectQueue,65,Deliverable,entry,964942.5620797846,2021-11-01 02:22:33.724787,,0,1,
